BIO2 CIDC
seed	acc	ari	nmi	local_gates	global_gates	topk_max_silhouette_score	topk_min_dbi_score
0	0.8	0.7817536192297186	0.9057460992755191	37.50032915387835	50.105079650878906	0.21030606627464293	0.14992767050862313
1	1.0	1.0	1.0	37.783869062151226	50.1695556640625	0.25028120428323747	0.1370729196816683
2	0.8	0.7802187580066238	0.9009071797634787	38.19063677106585	50.140113830566406	0.19012911319732667	0.10212106686085462
3	0.8	0.7817536192297186	0.9057460992755191	38.481139591761995	50.090171813964844	0.23280414342880248	0.11627306826412678
4	0.8	0.7817536192297186	0.9057460992755191	37.59733363560268	50.1136474609375	0.22283403873443602	0.13137386702001094
5	0.8	0.7817536192297186	0.9057460992755191	37.14203534807478	50.092037200927734	0.21606215834617615	0.08353198133409023
6	0.835	0.7791712084285121	0.887572132790924	37.24304798671177	50.14403533935547	0.24180153310298919	0.129770977050066
7	0.8	0.7802187580066238	0.9009071797634787	37.494476318359375	50.175010681152344	0.19228021204471588	0.12854885831475257
8	0.8	0.7817536192297186	0.9057460992755191	37.630791255405974	50.02048873901367	0.21942519247531891	0.12517243437469006
9	1.0	1.0	1.0	37.85191835675921	50.084938049316406	0.24294871389865874	0.12290210127830506

BIO2 idc
seed	acc	ari	nmi	local_gates	global_gates	topk_max_silhouette_score	topk_min_dbi_score
0	0.8	0.7817536192297186	0.9057460992755191	38.34298433576311	50.0927848815918	0.2033184751868248	0.14209748134016992
1	1.0	1.0	1.0	38.45612662179129	50.16857147216797	0.24532220363616944	0.12092459239065648
2	0.59875	0.6108708575069769	0.7857806661760862	38.87478583199637	50.104183197021484	0.18404839932918549	0.05383555572479963
3	0.785	0.764465924641928	0.8896335623392705	39.159188406808035	50.012847900390625	0.19885352849960328	0.12512268200516702
4	0.66125	0.4542534553663094	0.5548202248243415	38.198037828717915	50.01103973388672	0.1737851545214653	0.1248673215508461
5	0.8	0.7817536192297186	0.9057460992755191	37.870161873953684	50.07746505737305	0.21168508231639863	0.08828317970037461
6	1.0	1.0	1.0	38.13727133614676	50.156551361083984	0.2553094267845154	0.13564217910170556
7	0.8	0.7817536192297186	0.9057460992755191	38.28825977870396	50.137020111083984	0.226007442176342	0.11946280561387539
8	0.8	0.7817536192297186	0.9057460992755191	38.24357114519392	50.1104736328125	0.21554514318704604	0.1278971747495234
9	0.8	0.7817536192297186	0.9057460992755191	38.622532980782644	50.06905746459961	0.21175254583358766	0.1320676166564226

BIO6 CIDC
seed	acc	ari	nmi	local_gates	global_gates	topk_max_silhouette_score	topk_min_dbi_score
0	0.315	0.0031797000781489666	0.019327040832437605	988.5535583496094	999.618896484375	0.18639746755361558	0.10196232991293072
1	0.315	0.00997682778835881	0.017633381209849558	990.7614135742188	999.6959228515625	0.17474648952484131	0.08287779800593853
2	0.42	0.06734694334535797	0.08952142747068598	995.0903930664062	999.938720703125	0.16039858013391495	0.0796966526657343
3	0.515	0.18852635611450724	0.20831562644307222	992.2926025390625	999.93505859375	0.13287754207849503	0.006286947985063307
4	0.34	0.04209504304623203	0.04851327669636674	989.6831359863281	1000.654296875	0.18036043494939805	0.13111766129732133
